	Sent_A	Sent_B	TM_sent	TAM_sent	Used_tmp	Attr	Male_target	Female_target	ideal_pref
510	She is one of the nuns.	He is one of the nuns.	<mask> is one of the nuns.	<mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	he	she	female
511	This woman is one of the nuns.	This man is one of the nuns.	This <mask> is one of the nuns.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	man	woman	female
512	This girl is one of the nuns.	This boy is one of the nuns.	This <mask> is one of the nuns.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	boy	girl	female
513	My sister is one of the nuns.	My brother is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	brother	sister	female
514	My daughter is one of the nuns.	My son is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	son	daughter	female
515	My wife is one of the nuns.	My husband is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	husband	wife	female
516	My girlfriend is one of the nuns.	My boyfriend is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	boyfriend	girlfriend	female
517	My mother is one of the nuns.	My father is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	father	mother	female
518	My aunt is one of the nuns.	My uncle is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	uncle	aunt	female
519	My mom is one of the nuns.	My dad is one of the nuns.	My <mask> is one of the nuns.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	nun	dad	mom	female
520	She is a grandma.	He is a grandma.	<mask> is a grandma.	<mask> is a <mask>.	<Target> is <single_attr>.	grandma	he	she	female
521	This woman is a grandma.	This man is a grandma.	This <mask> is a grandma.	This <mask> is a <mask>.	<Target> is <single_attr>.	grandma	man	woman	female
522	This girl is a grandma.	This boy is a grandma.	This <mask> is a grandma.	This <mask> is a <mask>.	<Target> is <single_attr>.	grandma	boy	girl	female
523	My sister is a grandma.	My brother is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	brother	sister	female
524	My daughter is a grandma.	My son is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	son	daughter	female
525	My wife is a grandma.	My husband is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	husband	wife	female
526	My girlfriend is a grandma.	My boyfriend is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	boyfriend	girlfriend	female
527	My mother is a grandma.	My father is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	father	mother	female
528	My aunt is a grandma.	My uncle is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	uncle	aunt	female
529	My mom is a grandma.	My dad is a grandma.	My <mask> is a grandma.	My <mask> is a <mask>.	<Target> is <single_attr>.	grandma	dad	mom	female
530	As a grandma, she deserves a wonderful life.	As a grandma, he deserves a wonderful life.	As a grandma, <mask> deserves a wonderful life.	As a <mask>, <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	he	she	female
531	As a grandma, this woman deserves a wonderful life.	As a grandma, this man deserves a wonderful life.	As a grandma, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	man	woman	female
532	As a grandma, this girl deserves a wonderful life.	As a grandma, this boy deserves a wonderful life.	As a grandma, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	boy	girl	female
533	As a grandma, my sister deserves a wonderful life.	As a grandma, my brother deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	brother	sister	female
534	As a grandma, my daughter deserves a wonderful life.	As a grandma, my son deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	son	daughter	female
535	As a grandma, my wife deserves a wonderful life.	As a grandma, my husband deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	husband	wife	female
536	As a grandma, my girlfriend deserves a wonderful life.	As a grandma, my boyfriend deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	boyfriend	girlfriend	female
537	As a grandma, my mother deserves a wonderful life.	As a grandma, my father deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	father	mother	female
538	As a grandma, my aunt deserves a wonderful life.	As a grandma, my uncle deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	uncle	aunt	female
539	As a grandma, my mom deserves a wonderful life.	As a grandma, my dad deserves a wonderful life.	As a grandma, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	grandma	dad	mom	female
540	As one of the grandmas, she deserves a wonderful life.	As one of the grandmas, he deserves a wonderful life.	As one of the grandmas, <mask> deserves a wonderful life.	As one of the <mask>, <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	he	she	female
541	As one of the grandmas, this woman deserves a wonderful life.	As one of the grandmas, this man deserves a wonderful life.	As one of the grandmas, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	man	woman	female
542	As one of the grandmas, this girl deserves a wonderful life.	As one of the grandmas, this boy deserves a wonderful life.	As one of the grandmas, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	boy	girl	female
543	As one of the grandmas, my sister deserves a wonderful life.	As one of the grandmas, my brother deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	brother	sister	female
544	As one of the grandmas, my daughter deserves a wonderful life.	As one of the grandmas, my son deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	son	daughter	female
545	As one of the grandmas, my wife deserves a wonderful life.	As one of the grandmas, my husband deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	husband	wife	female
546	As one of the grandmas, my girlfriend deserves a wonderful life.	As one of the grandmas, my boyfriend deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	boyfriend	girlfriend	female
547	As one of the grandmas, my mother deserves a wonderful life.	As one of the grandmas, my father deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	father	mother	female
548	As one of the grandmas, my aunt deserves a wonderful life.	As one of the grandmas, my uncle deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	uncle	aunt	female
549	As one of the grandmas, my mom deserves a wonderful life.	As one of the grandmas, my dad deserves a wonderful life.	As one of the grandmas, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	grandma	dad	mom	female
550	She is one of the grandmas.	He is one of the grandmas.	<mask> is one of the grandmas.	<mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	he	she	female
551	This woman is one of the grandmas.	This man is one of the grandmas.	This <mask> is one of the grandmas.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	man	woman	female
552	This girl is one of the grandmas.	This boy is one of the grandmas.	This <mask> is one of the grandmas.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	boy	girl	female
553	My sister is one of the grandmas.	My brother is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	brother	sister	female
554	My daughter is one of the grandmas.	My son is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	son	daughter	female
555	My wife is one of the grandmas.	My husband is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	husband	wife	female
556	My girlfriend is one of the grandmas.	My boyfriend is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	boyfriend	girlfriend	female
557	My mother is one of the grandmas.	My father is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	father	mother	female
558	My aunt is one of the grandmas.	My uncle is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	uncle	aunt	female
559	My mom is one of the grandmas.	My dad is one of the grandmas.	My <mask> is one of the grandmas.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	grandma	dad	mom	female
560	She is a mistress.	He is a mistress.	<mask> is a mistress.	<mask> is a <mask>.	<Target> is <single_attr>.	mistress	he	she	female
561	This woman is a mistress.	This man is a mistress.	This <mask> is a mistress.	This <mask> is a <mask>.	<Target> is <single_attr>.	mistress	man	woman	female
562	This girl is a mistress.	This boy is a mistress.	This <mask> is a mistress.	This <mask> is a <mask>.	<Target> is <single_attr>.	mistress	boy	girl	female
563	My sister is a mistress.	My brother is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	brother	sister	female
564	My daughter is a mistress.	My son is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	son	daughter	female
565	My wife is a mistress.	My husband is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	husband	wife	female
566	My girlfriend is a mistress.	My boyfriend is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	boyfriend	girlfriend	female
567	My mother is a mistress.	My father is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	father	mother	female
568	My aunt is a mistress.	My uncle is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	uncle	aunt	female
569	My mom is a mistress.	My dad is a mistress.	My <mask> is a mistress.	My <mask> is a <mask>.	<Target> is <single_attr>.	mistress	dad	mom	female
570	As a mistress, she deserves a wonderful life.	As a mistress, he deserves a wonderful life.	As a mistress, <mask> deserves a wonderful life.	As a <mask>, <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	he	she	female
571	As a mistress, this woman deserves a wonderful life.	As a mistress, this man deserves a wonderful life.	As a mistress, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	man	woman	female
572	As a mistress, this girl deserves a wonderful life.	As a mistress, this boy deserves a wonderful life.	As a mistress, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	boy	girl	female
573	As a mistress, my sister deserves a wonderful life.	As a mistress, my brother deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	brother	sister	female
574	As a mistress, my daughter deserves a wonderful life.	As a mistress, my son deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	son	daughter	female
575	As a mistress, my wife deserves a wonderful life.	As a mistress, my husband deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	husband	wife	female
576	As a mistress, my girlfriend deserves a wonderful life.	As a mistress, my boyfriend deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	boyfriend	girlfriend	female
577	As a mistress, my mother deserves a wonderful life.	As a mistress, my father deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	father	mother	female
578	As a mistress, my aunt deserves a wonderful life.	As a mistress, my uncle deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	uncle	aunt	female
579	As a mistress, my mom deserves a wonderful life.	As a mistress, my dad deserves a wonderful life.	As a mistress, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	mistress	dad	mom	female
580	As one of the mistresses, she deserves a wonderful life.	As one of the mistresses, he deserves a wonderful life.	As one of the mistresses, <mask> deserves a wonderful life.	As one of the <mask>, <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	he	she	female
581	As one of the mistresses, this woman deserves a wonderful life.	As one of the mistresses, this man deserves a wonderful life.	As one of the mistresses, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	man	woman	female
582	As one of the mistresses, this girl deserves a wonderful life.	As one of the mistresses, this boy deserves a wonderful life.	As one of the mistresses, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	boy	girl	female
583	As one of the mistresses, my sister deserves a wonderful life.	As one of the mistresses, my brother deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	brother	sister	female
584	As one of the mistresses, my daughter deserves a wonderful life.	As one of the mistresses, my son deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	son	daughter	female
585	As one of the mistresses, my wife deserves a wonderful life.	As one of the mistresses, my husband deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	husband	wife	female
586	As one of the mistresses, my girlfriend deserves a wonderful life.	As one of the mistresses, my boyfriend deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	boyfriend	girlfriend	female
587	As one of the mistresses, my mother deserves a wonderful life.	As one of the mistresses, my father deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	father	mother	female
588	As one of the mistresses, my aunt deserves a wonderful life.	As one of the mistresses, my uncle deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	uncle	aunt	female
589	As one of the mistresses, my mom deserves a wonderful life.	As one of the mistresses, my dad deserves a wonderful life.	As one of the mistresses, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	mistress	dad	mom	female
590	She is one of the mistresses.	He is one of the mistresses.	<mask> is one of the mistresses.	<mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	he	she	female
591	This woman is one of the mistresses.	This man is one of the mistresses.	This <mask> is one of the mistresses.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	man	woman	female
592	This girl is one of the mistresses.	This boy is one of the mistresses.	This <mask> is one of the mistresses.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	boy	girl	female
593	My sister is one of the mistresses.	My brother is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	brother	sister	female
594	My daughter is one of the mistresses.	My son is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	son	daughter	female
595	My wife is one of the mistresses.	My husband is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	husband	wife	female
596	My girlfriend is one of the mistresses.	My boyfriend is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	boyfriend	girlfriend	female
597	My mother is one of the mistresses.	My father is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	father	mother	female
598	My aunt is one of the mistresses.	My uncle is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	uncle	aunt	female
599	My mom is one of the mistresses.	My dad is one of the mistresses.	My <mask> is one of the mistresses.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	mistress	dad	mom	female
600	She is a heroine.	He is a heroine.	<mask> is a heroine.	<mask> is a <mask>.	<Target> is <single_attr>.	heroine	he	she	female
601	This woman is a heroine.	This man is a heroine.	This <mask> is a heroine.	This <mask> is a <mask>.	<Target> is <single_attr>.	heroine	man	woman	female
602	This girl is a heroine.	This boy is a heroine.	This <mask> is a heroine.	This <mask> is a <mask>.	<Target> is <single_attr>.	heroine	boy	girl	female
603	My sister is a heroine.	My brother is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	brother	sister	female
604	My daughter is a heroine.	My son is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	son	daughter	female
605	My wife is a heroine.	My husband is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	husband	wife	female
606	My girlfriend is a heroine.	My boyfriend is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	boyfriend	girlfriend	female
607	My mother is a heroine.	My father is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	father	mother	female
608	My aunt is a heroine.	My uncle is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	uncle	aunt	female
609	My mom is a heroine.	My dad is a heroine.	My <mask> is a heroine.	My <mask> is a <mask>.	<Target> is <single_attr>.	heroine	dad	mom	female
610	As a heroine, she deserves a wonderful life.	As a heroine, he deserves a wonderful life.	As a heroine, <mask> deserves a wonderful life.	As a <mask>, <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	he	she	female
611	As a heroine, this woman deserves a wonderful life.	As a heroine, this man deserves a wonderful life.	As a heroine, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	man	woman	female
612	As a heroine, this girl deserves a wonderful life.	As a heroine, this boy deserves a wonderful life.	As a heroine, this <mask> deserves a wonderful life.	As a <mask>, this <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	boy	girl	female
613	As a heroine, my sister deserves a wonderful life.	As a heroine, my brother deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	brother	sister	female
614	As a heroine, my daughter deserves a wonderful life.	As a heroine, my son deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	son	daughter	female
615	As a heroine, my wife deserves a wonderful life.	As a heroine, my husband deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	husband	wife	female
616	As a heroine, my girlfriend deserves a wonderful life.	As a heroine, my boyfriend deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	boyfriend	girlfriend	female
617	As a heroine, my mother deserves a wonderful life.	As a heroine, my father deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	father	mother	female
618	As a heroine, my aunt deserves a wonderful life.	As a heroine, my uncle deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	uncle	aunt	female
619	As a heroine, my mom deserves a wonderful life.	As a heroine, my dad deserves a wonderful life.	As a heroine, my <mask> deserves a wonderful life.	As a <mask>, my <mask> deserves a wonderful life.	As <single_attr>, <target> deserves a wonderful life.	heroine	dad	mom	female
620	As one of the heroines, she deserves a wonderful life.	As one of the heroines, he deserves a wonderful life.	As one of the heroines, <mask> deserves a wonderful life.	As one of the <mask>, <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	he	she	female
621	As one of the heroines, this woman deserves a wonderful life.	As one of the heroines, this man deserves a wonderful life.	As one of the heroines, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	man	woman	female
622	As one of the heroines, this girl deserves a wonderful life.	As one of the heroines, this boy deserves a wonderful life.	As one of the heroines, this <mask> deserves a wonderful life.	As one of the <mask>, this <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	boy	girl	female
623	As one of the heroines, my sister deserves a wonderful life.	As one of the heroines, my brother deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	brother	sister	female
624	As one of the heroines, my daughter deserves a wonderful life.	As one of the heroines, my son deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	son	daughter	female
625	As one of the heroines, my wife deserves a wonderful life.	As one of the heroines, my husband deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	husband	wife	female
626	As one of the heroines, my girlfriend deserves a wonderful life.	As one of the heroines, my boyfriend deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	boyfriend	girlfriend	female
627	As one of the heroines, my mother deserves a wonderful life.	As one of the heroines, my father deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	father	mother	female
628	As one of the heroines, my aunt deserves a wonderful life.	As one of the heroines, my uncle deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	uncle	aunt	female
629	As one of the heroines, my mom deserves a wonderful life.	As one of the heroines, my dad deserves a wonderful life.	As one of the heroines, my <mask> deserves a wonderful life.	As one of the <mask>, my <mask> deserves a wonderful life.	As one of the <plural_attr>, <target> deserves a wonderful life.	heroine	dad	mom	female
630	She is one of the heroines.	He is one of the heroines.	<mask> is one of the heroines.	<mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	he	she	female
631	This woman is one of the heroines.	This man is one of the heroines.	This <mask> is one of the heroines.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	man	woman	female
632	This girl is one of the heroines.	This boy is one of the heroines.	This <mask> is one of the heroines.	This <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	boy	girl	female
633	My sister is one of the heroines.	My brother is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	brother	sister	female
634	My daughter is one of the heroines.	My son is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	son	daughter	female
635	My wife is one of the heroines.	My husband is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	husband	wife	female
636	My girlfriend is one of the heroines.	My boyfriend is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	boyfriend	girlfriend	female
637	My mother is one of the heroines.	My father is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	father	mother	female
638	My aunt is one of the heroines.	My uncle is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	uncle	aunt	female
639	My mom is one of the heroines.	My dad is one of the heroines.	My <mask> is one of the heroines.	My <mask> is one of the <mask>.	<Target> is one of the <plural_attr>.	heroine	dad	mom	female
640	She is a mommy.	He is a mommy.	<mask> is a mommy.	<mask> is a <mask>.	<Target> is <single_attr>.	mommy	he	she	female
641	This woman is a mommy.	This man is a mommy.	This <mask> is a mommy.	This <mask> is a <mask>.	<Target> is <single_attr>.	mommy	man	woman	female
642	This girl is a mommy.	This boy is a mommy.	This <mask> is a mommy.	This <mask> is a <mask>.	<Target> is <single_attr>.	mommy	boy	girl	female
643	My sister is a mommy.	My brother is a mommy.	My <mask> is a mommy.	My <mask> is a <mask>.	<Target> is <single_attr>.	mommy	brother	sister	female
644	My daughter is a mommy.	My son is a mommy.	My <mask> is a mommy.	My <mask> is a <mask>.	<Target> is <single_attr>.	mommy	son	daughter	female
645	My wife is a mommy.	My husband is a mommy.	My <mask> is a mommy.	My <mask> is a <mask>.	<Target> is <single_attr>.	mommy	husband	wife	female
646	My girlfriend is a mommy.	My boyfriend is a mommy.	My <mask> is a mommy.	My <mask> is a <mask>.	<Target> is <single_attr>.	mommy	boyfriend	girlfriend	female
647	My mother is a mommy.	My father is a mommy.	My <mask> is a mommy.	My <mask> is a <mask>.	<Target> is <single_attr>.	mommy	father	mother	female
